Time,Total Users,Users Active,Finished Users,VMs Created,VMs Failed,VMs Active
3600.1650000000004,4,4,0,16,0,16
7200.429999999999,8,4,4,32,0,16
10800.505,8,0,8,32,0,0
14400.605,10,2,8,40,0,8
18001.004,17,9,8,68,6,30
21601.468,21,6,15,84,10,14
25201.623,24,7,17,96,10,20
28802.186,25,4,21,100,10,8
32403.180500000002,26,3,23,104,10,4
36004.031,32,8,24,128,10,24
39604.398,34,4,30,136,10,8
43205.326,36,5,31,144,10,12
46806.01,40,6,34,160,10,16
50406.46,44,6,38,176,10,16
54006.735,48,8,40,192,10,24
57607.32,51,6,45,204,10,16
61207.385,57,8,49,228,12,22
64807.952000000005,59,5,54,236,12,10
68408.39600000001,63,6,57,252,12,16
72008.838,68,9,59,272,12,28
75609.473,71,7,64,284,12,20
79209.5675,73,6,67,292,12,16
82809.66750000001,79,10,69,316,14,30
86410.225,82,6,76,328,18,10

