Time,Total Requested PES,Total Requested MIPS,Total Allocated PES,Total Allocated MIPS,Total Hosts Active
3600.1650000000004,32,99,22,23998,99.0
7200.429999999999,32,99,21,21999,99.0
10800.505,0,99,0,0,99.0
14400.605,16,99,16,16000,99.0
18001.004,60,99,30,31998,99.0
21601.468,28,99,25,25999,99.0
25201.623,40,99,24,24000,99.0
28802.186,16,99,9,9999,99.0
32403.180500000002,8,99,8,8000,99.0
36004.031,48,99,39,42996,99.0
39604.398,16,99,10,10000,99.0
43205.326,24,99,18,18000,99.0
46806.01,32,99,21,21999,99.0
50406.46,32,99,25,25999,99.0
54006.735,48,99,29,29999,99.0
57607.32,32,99,20,21998,99.0
61207.385,44,99,40,40999,99.0
64807.952000000005,20,99,14,15998,99.0
68408.39600000001,32,99,26,26000,99.0
72008.838,56,99,36,36999,99.0
75609.473,40,99,22,22000,99.0
79209.5675,32,99,20,20000,99.0
82809.66750000001,60,99,34,34000,99.0
86410.225,20,99,20,20000,99.0
